인증번호,소재지,품목,재배면적.제곱미터.,생산계획량.톤.
1011428,전라남도 해남군,배추,1535,4.55
1011428,전라남도 해남군,배추,2243,6.66
1011428,전라남도 해남군,배추,1138,3.38
1011428,전라남도 해남군,배추,1690,5.02
1011428,전라남도 해남군,배추,992,2.95
1011428,전라남도 해남군,배추,1690,5.03
1014715,전라남도 해남군,배추,1430,1.49
1014715,전라남도 해남군,배추,1759,1.62
1014715,전라남도 해남군,배추,820,0.8
1014715,전라남도 해남군,배추,253,0.37
1014715,전라남도 해남군,배추,1428,1.31
1014715,전라남도 해남군,배추,33599,30.91
1014715,전라남도 해남군,배추,141,0.13
1014715,전라남도 해남군,배추,1111,1.02
1014715,전라남도 해남군,배추,1689,2.05
1014715,전라남도 해남군,배추,1000,1.16
1014715,전라남도 해남군,배추,1243,1.14
1014715,전라남도 해남군,배추,2426,2.23
1014715,전라남도 해남군,배추,1137,1.05
1014715,전라남도 해남군,배추,3536,3.25
1014715,전라남도 해남군,배추,1375,1.27
1014724,전라남도 해남군,배추,303,2.58
1014724,전라남도 해남군,배추,2331,19.81
1014724,전라남도 해남군,배추,1476,12.55
1014724,전라남도 해남군,배추,3739,31.78
1014724,전라남도 해남군,배추,1581,13.44
1014724,전라남도 해남군,배추,800,6.8
1014724,전라남도 해남군,배추,2188,18.6
1014724,전라남도 해남군,배추,3316,28.19
1014724,전라남도 해남군,배추,3025,25.71
1014724,전라남도 해남군,배추,3673,31.22
1014724,전라남도 해남군,배추,2605,22.14
1014724,전라남도 해남군,배추,200,1.7
1014724,전라남도 해남군,배추,1316,11.19
1014724,전라남도 해남군,배추,516,4.39
1014724,전라남도 해남군,배추,1293,10.99
1014724,전라남도 해남군,배추,1342,11.41
1014724,전라남도 해남군,배추,417,3.54
1014724,전라남도 해남군,배추,3329,28.3
1014724,전라남도 해남군,배추,500,4.25
1014724,전라남도 해남군,배추,165,1.4
1014724,전라남도 해남군,배추,325,2.76
1014724,전라남도 해남군,배추,45,0.38
