"","인증번호","소재지","품목","재배면적.제곱미터.","시도","시도전체면적","시도전채생산량","위도","경도","연도"
"70",1009653,"전라남도 진도군","배추",508,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"71",1009653,"전라남도 진도군","배추",856,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"72",1009653,"전라남도 진도군","배추",1095,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"73",1009653,"전라남도 진도군","배추",2327,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"74",1009653,"전라남도 진도군","배추",1557,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"75",1009653,"전라남도 진도군","배추",261,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"76",1009653,"전라남도 진도군","배추",1552,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"77",1009653,"전라남도 진도군","배추",4393,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"78",1009653,"전라남도 진도군","배추",702,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"79",1009653,"전라남도 진도군","배추",1230,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"80",1009653,"전라남도 진도군","배추",188,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"81",1009653,"전라남도 진도군","배추",110,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"82",1009653,"전라남도 진도군","배추",1457,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"83",1009653,"전라남도 진도군","배추",640,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"84",1009653,"전라남도 진도군","배추",1120,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"85",1009653,"전라남도 진도군","배추",2200,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"86",1009653,"전라남도 진도군","배추",1983,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"87",1009653,"전라남도 진도군","배추",1123,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"88",1009653,"전라남도 진도군","배추",691,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"89",1009653,"전라남도 진도군","배추",708,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"90",1009653,"전라남도 진도군","배추",204,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"91",1009653,"전라남도 진도군","배추",2354,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"92",1009653,"전라남도 진도군","배추",3127.7,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"93",1009653,"전라남도 진도군","배추",220,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"94",1009653,"전라남도 진도군","배추",1183,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"95",1009653,"전라남도 진도군","배추",936,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"96",1009653,"전라남도 진도군","배추",426,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"97",1009653,"전라남도 진도군","배추",578,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"98",1009653,"전라남도 진도군","배추",5064,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"99",1009653,"전라남도 진도군","배추",369,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"100",1009653,"전라남도 진도군","배추",1607,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"101",1009653,"전라남도 진도군","배추",1947,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"102",1009653,"전라남도 진도군","배추",1959,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"103",1009653,"전라남도 진도군","배추",940,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"104",1009653,"전라남도 진도군","배추",1943,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"105",1009653,"전라남도 진도군","배추",1516,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"106",1009653,"전라남도 진도군","배추",156,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"107",1009653,"전라남도 진도군","배추",1470,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"108",1009653,"전라남도 진도군","배추",1180,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"109",1009653,"전라남도 진도군","배추",653,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"110",1009653,"전라남도 진도군","배추",1530,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"111",1009653,"전라남도 진도군","배추",2622,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"112",1009653,"전라남도 진도군","배추",149,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"113",1009653,"전라남도 진도군","배추",258,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"114",1009653,"전라남도 진도군","배추",168,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"115",1009653,"전라남도 진도군","배추",552,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"116",1009653,"전라남도 진도군","배추",1000,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"117",1009653,"전라남도 진도군","배추",2000,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"118",1009653,"전라남도 진도군","배추",2180,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"119",1009653,"전라남도 진도군","배추",820,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"120",1009653,"전라남도 진도군","배추",373,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"121",1009653,"전라남도 진도군","배추",1203,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"122",1009653,"전라남도 진도군","배추",623,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"123",1009653,"전라남도 진도군","배추",1294,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"124",1009653,"전라남도 진도군","배추",1698,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"125",1009653,"전라남도 진도군","배추",1444,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"126",1009653,"전라남도 진도군","배추",1705,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"127",1009653,"전라남도 진도군","배추",800,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"128",1009653,"전라남도 진도군","배추",1950,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"129",1009653,"전라남도 진도군","배추",1050,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"130",1009653,"전라남도 진도군","배추",3017,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"131",1009653,"전라남도 진도군","배추",245,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"132",1009653,"전라남도 진도군","배추",700,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"133",1009653,"전라남도 진도군","배추",400,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"134",1009653,"전라남도 진도군","배추",257,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"135",1010183,"경기도 용인시 처인구","배추",1652,"경기도",1435,124769,37.2343060386837,127.201357139725,2022
"136",1010183,"경기도 용인시 처인구","배추",1726,"경기도",1435,124769,37.2343060386837,127.201357139725,2022
"137",1010183,"경기도 용인시 처인구","배추",341,"경기도",1435,124769,37.2343060386837,127.201357139725,2022
"138",1010183,"경기도 용인시 처인구","배추",1868,"경기도",1435,124769,37.2343060386837,127.201357139725,2022
"139",1010183,"경기도 용인시 처인구","배추",505,"경기도",1435,124769,37.2343060386837,127.201357139725,2022
"140",1010183,"경기도 용인시 처인구","배추",519,"경기도",1435,124769,37.2343060386837,127.201357139725,2022
